Unnamed: 0,tipo_registro,data_pregao,cod_bdi,cod_negociacao,tipo_mercado,nome_empresa,especificacao_papel,prazo_dias_merc_termo,moeda_referencia,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo_negocio,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_papeis_negociados,volume_total_negociado,preco_exercicio,indicador_correcao_precos,data_vencimento,fator_cotacao,preco_exercicio_pontos,codigo_isin,num_distribuicao_papel
53,1,02/01/2019,2.0,BRAP4,10,BRADESPAR,PN  EJ  N1,,R$,30.85,31.3,30.27,30.87,31.09,31.0,31.09,11498.0,2161300.0,66735262.0,0.0,0.0,99991231.0,1.0,0.0,BRBRAPACNPR2,134.0
91,1,02/01/2019,2.0,CMIG4,10,CEMIG,PN  EJ  N1,,R$,13.85,14.6,13.8,14.3,14.3,14.3,14.31,31286.0,11922800.0,170530996.0,0.0,0.0,99991231.0,1.0,0.0,BRCMIGACNPR3,222.0
107,1,02/01/2019,2.0,CSAN3,10,COSAN,ON      NM,,R$,33.39,36.0,33.26,35.32,35.7,35.69,35.7,10166.0,1839000.0,64965051.0,0.0,0.0,99991231.0,1.0,0.0,BRCSANACNOR6,118.0
293,1,02/01/2019,2.0,RENT3,10,LOCALIZA,ON  EJ  NM,,R$,29.75,31.08,29.24,30.32,30.87,30.87,30.89,19247.0,4800900.0,145591661.0,0.0,0.0,99991231.0,1.0,0.0,BRRENTACNOR4,170.0
316,1,02/01/2019,2.0,SLCE3,10,SLC AGRICOLA,ON      NM,,R$,41.9,45.69,41.6,43.9,44.43,44.41,44.5,3921.0,637300.0,27981474.0,0.0,0.0,99991231.0,1.0,0.0,BRSLCEACNOR2,112.0
326,1,02/01/2019,2.0,TAEE11,10,TAESA,UNT EJ  N2,,R$,23.75,24.27,23.54,24.08,24.21,24.15,24.21,6823.0,1118200.0,26930625.0,0.0,0.0,99991231.0,1.0,0.0,BRTAEECDAM10,124.0
369,1,02/01/2019,2.0,WEGE3,10,WEG,ON  EJ  NM,,R$,17.62,18.18,17.5,17.96,17.98,17.98,18.06,10943.0,2375600.0,42688569.0,0.0,0.0,99991231.0,1.0,0.0,BRWEGEACNOR0,189.0
976,1,03/01/2019,2.0,BRAP4,10,BRADESPAR,PN  EJ  N1,,R$,30.99,30.99,29.5,30.07,29.9,29.85,29.9,14857.0,3465500.0,104225501.0,0.0,0.0,99991231.0,1.0,0.0,BRBRAPACNPR2,134.0
1010,1,03/01/2019,2.0,CMIG4,10,CEMIG,PN  EJ  N1,,R$,14.08,14.27,13.77,13.97,14.0,13.97,14.0,37675.0,16073400.0,224681305.0,0.0,0.0,99991231.0,1.0,0.0,BRCMIGACNPR3,222.0
1022,1,03/01/2019,2.0,CSAN3,10,COSAN,ON      NM,,R$,35.3,36.53,35.3,36.03,36.24,35.94,36.24,11258.0,2159300.0,77820734.0,0.0,0.0,99991231.0,1.0,0.0,BRCSANACNOR6,118.0
